COMMAND  PID      USER   FD      TYPE             DEVICE  SIZE/OFF                NODE NAME
Python  1581 rainhuang  cwd       DIR               1,16       960            34656640 /Users/rainhuang/Desktop/models/kiln
Python  1581 rainhuang  txt       REG               1,16    133376             1133868 /opt/homebrew/Cellar/python@3.12/3.12.12_2/Frameworks/Python.framework/Versions/3.12/lib/python3.12/lib-dynload/_datetime.cpython-312-darwin.so
Python  1581 rainhuang  txt       REG               1,16     89424             1133851 /opt/homebrew/Cellar/python@3.12/3.12.12_2/Frameworks/Python.framework/Versions/3.12/lib/python3.12/lib-dynload/_blake2.cpython-312-darwin.so
Python  1581 rainhuang  txt       REG               1,16     94560             1133894 /opt/homebrew/Cellar/python@3.12/3.12.12_2/Frameworks/Python.framework/Versions/3.12/lib/python3.12/lib-dynload/_struct.cpython-312-darwin.so
Python  1581 rainhuang  txt       REG               1,16     88656             1133909 /opt/homebrew/Cellar/python@3.12/3.12.12_2/Frameworks/Python.framework/Versions/3.12/lib/python3.12/lib-dynload/binascii.cpython-312-darwin.so
Python  1581 rainhuang  txt       REG               1,16     50656            34738745 /Users/rainhuang/Desktop/models/kiln/.venv/lib/python3.12/site-packages/markupsafe/_speedups.cpython-312-darwin.so
Python  1581 rainhuang  txt       REG               1,16   1555552            34742916 /Users/rainhuang/Desktop/models/kiln/.venv/lib/python3.12/site-packages/mlx/lib/libjaccl.dylib
Python  1581 rainhuang  txt       REG               1,16     71616             1133885 /opt/homebrew/Cellar/python@3.12/3.12.12_2/Frameworks/Python.framework/Versions/3.12/lib/python3.12/lib-dynload/_random.cpython-312-darwin.so
Python  1581 rainhuang  txt       REG               1,16     89552             1133888 /opt/homebrew/Cellar/python@3.12/3.12.12_2/Frameworks/Python.framework/Versions/3.12/lib/python3.12/lib-dynload/_sha2.cpython-312-darwin.so
Python  1581 rainhuang  txt       REG               1,16     92512             1133919 /opt/homebrew/Cellar/python@3.12/3.12.12_2/Frameworks/Python.framework/Versions/3.12/lib/python3.12/lib-dynload/select.cpython-312-darwin.so
Python  1581 rainhuang  txt       REG               1,16    132064             1133890 /opt/homebrew/Cellar/python@3.12/3.12.12_2/Frameworks/Python.framework/Versions/3.12/lib/python3.12/lib-dynload/_socket.cpython-312-darwin.so
Python  1581 rainhuang  txt       REG               1,16     71024             1133886 /opt/homebrew/Cellar/python@3.12/3.12.12_2/Frameworks/Python.framework/Versions/3.12/lib/python3.12/lib-dynload/_scproxy.cpython-312-darwin.so
Python  1581 rainhuang  txt       REG               1,16     68352             1133902 /opt/homebrew/Cellar/python@3.12/3.12.12_2/Frameworks/Python.framework/Versions/3.12/lib/python3.12/lib-dynload/_uuid.cpython-312-darwin.so
Python  1581 rainhuang  txt       REG               1,16       119 1152921500312103450 /System/Library/CoreServices/SystemVersion.bundle/zh_CN.lproj/SystemVersion.strings
Python  1581 rainhuang  txt       REG               1,16    219024             1133892 /opt/homebrew/Cellar/python@3.12/3.12.12_2/Frameworks/Python.framework/Versions/3.12/lib/python3.12/lib-dynload/_ssl.cpython-312-darwin.so
Python  1581 rainhuang  txt       REG               1,16     73248             1133914 /opt/homebrew/Cellar/python@3.12/3.12.12_2/Frameworks/Python.framework/Versions/3.12/lib/python3.12/lib-dynload/mmap.cpython-312-darwin.so
Python  1581 rainhuang  txt       REG               1,16     69648             1133873 /opt/homebrew/Cellar/python@3.12/3.12.12_2/Frameworks/Python.framework/Versions/3.12/lib/python3.12/lib-dynload/_heapq.cpython-312-darwin.so
Python  1581 rainhuang  txt       REG               1,16    151984             1133881 /opt/homebrew/Cellar/python@3.12/3.12.12_2/Frameworks/Python.framework/Versions/3.12/lib/python3.12/lib-dynload/_pickle.cpython-312-darwin.so
Python  1581 rainhuang  txt       REG               1,16     91232             1133863 /opt/homebrew/Cellar/python@3.12/3.12.12_2/Frameworks/Python.framework/Versions/3.12/lib/python3.12/lib-dynload/_csv.cpython-312-darwin.so
Python  1581 rainhuang  txt       REG               1,16     70288             1133911 /opt/homebrew/Cellar/python@3.12/3.12.12_2/Frameworks/Python.framework/Versions/3.12/lib/python3.12/lib-dynload/fcntl.cpython-312-darwin.so
Python  1581 rainhuang  txt       REG               1,16    193136             1133870 /opt/homebrew/Cellar/python@3.12/3.12.12_2/Frameworks/Python.framework/Versions/3.12/lib/python3.12/lib-dynload/_decimal.cpython-312-darwin.so
Python  1581 rainhuang  txt       REG               1,16     72176             1133883 /opt/homebrew/Cellar/python@3.12/3.12.12_2/Frameworks/Python.framework/Versions/3.12/lib/python3.12/lib-dynload/_posixsubprocess.cpython-312-darwin.so
Python  1581 rainhuang  txt       REG               1,16     68400             1133861 /opt/homebrew/Cellar/python@3.12/3.12.12_2/Frameworks/Python.framework/Versions/3.12/lib/python3.12/lib-dynload/_contextvars.cpython-312-darwin.so
Python  1581 rainhuang  txt       REG               1,16    872080            34600753 /opt/homebrew/Cellar/openssl@3/3.6.3/lib/libssl.3.dylib
Python  1581 rainhuang  txt       REG               1,16   4856256            34600621 /opt/homebrew/Cellar/openssl@3/3.6.3/lib/libcrypto.3.dylib
Python  1581 rainhuang  txt       REG               1,16     72256             1133884 /opt/homebrew/Cellar/python@3.12/3.12.12_2/Frameworks/Python.framework/Versions/3.12/lib/python3.12/lib-dynload/_queue.cpython-312-darwin.so
Python  1581 rainhuang  txt       REG               1,16   1174448             1133922 /opt/homebrew/Cellar/python@3.12/3.12.12_2/Frameworks/Python.framework/Versions/3.12/lib/python3.12/lib-dynload/unicodedata.cpython-312-darwin.so
Python  1581 rainhuang  txt       REG               1,16    188176             1133811 /opt/homebrew/Cellar/mpdecimal/4.0.1/lib/libmpdec.4.0.1.dylib
Python  1581 rainhuang  txt       REG               1,16    117744             1133849 /opt/homebrew/Cellar/python@3.12/3.12.12_2/Frameworks/Python.framework/Versions/3.12/lib/python3.12/lib-dynload/_asyncio.cpython-312-darwin.so
Python  1581 rainhuang  txt       REG               1,16  21871344            34742918 /Users/rainhuang/Desktop/models/kiln/.venv/lib/python3.12/site-packages/mlx/lib/libmlx.dylib
Python  1581 rainhuang  txt       REG               1,16     71520             1133921 /opt/homebrew/Cellar/python@3.12/3.12.12_2/Frameworks/Python.framework/Versions/3.12/lib/python3.12/lib-dynload/termios.cpython-312-darwin.so
Python  1581 rainhuang  txt       REG               1,16    158016             1133864 /opt/homebrew/Cellar/python@3.12/3.12.12_2/Frameworks/Python.framework/Versions/3.12/lib/python3.12/lib-dynload/_ctypes.cpython-312-darwin.so
Python  1581 rainhuang  txt       REG               1,16    381768            34743221 /Users/rainhuang/Desktop/models/kiln/.venv/lib/python3.12/site-packages/yaml/_yaml.cpython-312-darwin.so
Python  1581 rainhuang  txt       REG               1,16    164816             1133891 /opt/homebrew/Cellar/python@3.12/3.12.12_2/Frameworks/Python.framework/Versions/3.12/lib/python3.12/lib-dynload/_sqlite3.cpython-312-darwin.so
Python  1581 rainhuang  txt       REG               1,16    154880            34744170 /Users/rainhuang/Desktop/models/kiln/.venv/lib/python3.12/site-packages/numpy/linalg/_umath_linalg.cpython-312-darwin.so
Python  1581 rainhuang  txt       REG               1,16   1276320            34596671 /opt/homebrew/Cellar/sqlite/3.53.4/lib/libsqlite3.3.53.4.dylib
Python  1581 rainhuang  txt       REG               1,16    791024            34744858 /Users/rainhuang/Desktop/models/kiln/.venv/lib/python3.12/site-packages/regex/_regex.cpython-312-darwin.so
Python  1581 rainhuang  txt       REG               1,16   3996152            34743991 /Users/rainhuang/Desktop/models/kiln/.venv/lib/python3.12/site-packages/numpy/_core/_multiarray_umath.cpython-312-darwin.so
Python  1581 rainhuang  txt       REG               1,16   2360472            34742987 /Users/rainhuang/Desktop/models/kiln/.venv/lib/python3.12/site-packages/sentencepiece/_sentencepiece.cpython-312-darwin.so
Python  1581 rainhuang  txt       REG               1,16   8261072            34742308 /Users/rainhuang/Desktop/models/kiln/.venv/lib/python3.12/site-packages/tokenizers/tokenizers.abi3.so
Python  1581 rainhuang  txt       REG               1,16  35444880 1152921500312583778 /usr/share/icu/icudt78l.dat
Python  1581 rainhuang  txt       REG               1,16  25218224 1152921500312129889 /System/Library/Extensions/AGXMetalG16G_B0.bundle/Contents/MacOS/AGXMetalG16G_B0
Python  1581 rainhuang  txt       REG               1,16  32308616 1152921500312129896 /System/Library/Extensions/AGXMetalG16G_B0.bundle/Contents/Resources/ds.g16g
Python  1581 rainhuang  txt       REG               1,16     99248             1133916 /opt/homebrew/Cellar/python@3.12/3.12.12_2/Frameworks/Python.framework/Versions/3.12/lib/python3.12/lib-dynload/pyexpat.cpython-312-darwin.so
Python  1581 rainhuang  txt       REG               1,16    341518            50777890 /private/var/db/analyticsd/events.allowlist
Python  1581 rainhuang  txt       REG               1,16  20889600            16254825 /private/var/folders/1h/80m6zm0j2bqfbxt9fz1glyc80000gn/C/org.python.python/com.apple.metal/32024/libraries.data
Python  1581 rainhuang  txt       REG               1,16   3866624             6811227 /private/var/folders/1h/80m6zm0j2bqfbxt9fz1glyc80000gn/C/org.python.python/com.apple.metal/16777235_403/functions.data
Python  1581 rainhuang    0r      CHR                3,2       0t0                 336 /dev/null
Python  1581 rainhuang    1u      REG               1,16         0            43455979 /private/tmp/kiln-mlx.log
Python  1581 rainhuang    2u      REG               1,16  15356019            34914539 /private/tmp/kiln-mlx.err
Python  1581 rainhuang    3r      REG               1,16 174792880            34742919 /Users/rainhuang/Desktop/models/kiln/.venv/lib/python3.12/site-packages/mlx/lib/mlx.metallib
Python  1581 rainhuang    4   NPOLICY                                                  
Python  1581 rainhuang    6u     IPv4 0x9b3f0f0484a3767d       0t0                 TCP 198.18.0.1:53037->198.18.3.59:443 (CLOSED)
Python  1581 rainhuang    7u     IPv4 0xc78dadaa4d753204       0t0                 TCP 127.0.0.1:8081 (LISTEN)
Python  1581 rainhuang    9u     unix 0x706f6af4679ea95a       0t0                     ->0xc69b132726d15e9c
Python  1581 rainhuang   10u      REG               1,16  20889600            16254825 /private/var/folders/1h/80m6zm0j2bqfbxt9fz1glyc80000gn/C/org.python.python/com.apple.metal/32024/libraries.data
Python  1581 rainhuang   11u      REG               1,16     35380            44509953 /private/var/folders/1h/80m6zm0j2bqfbxt9fz1glyc80000gn/C/org.python.python/com.apple.metal/32024/libraries.list
Python  1581 rainhuang   12u      REG               1,16   3866624             6811227 /private/var/folders/1h/80m6zm0j2bqfbxt9fz1glyc80000gn/C/org.python.python/com.apple.metal/16777235_403/functions.data
Python  1581 rainhuang   13u      REG               1,16     73180            44509954 /private/var/folders/1h/80m6zm0j2bqfbxt9fz1glyc80000gn/C/org.python.python/com.apple.metal/16777235_403/functions.list
